1 0 0 36.239 .01 .01
1.01 0 0 35.9517 .01 .01
1.02 0 0 35.6694 .01 .01
1.03 0 0 35.3921 .01 .01
1.04 0 0 35.1196 .01 .01
1.05 0 0 34.8517 .01 .01
1.06 0 0 34.5885 .01 .01
1.07 0 0 34.3296 .01 .01
1.08 0 0 34.0751 .01 .01
1.09 0 0 33.8248 .01 .01
1.1 0 0 33.5785 .01 .01
1.11 0 0 33.3363 .01 .01
1.12 0 0 33.098 .01 .01
1.13 0 0 32.8635 .01 .01
1.14 0 0 32.6326 .01 .01
1.15 0 0 32.4054 .01 .01
1.16 0 0 32.1817 .01 .01
1.17 0 0 31.9615 .01 .01
1.18 0 0 31.7446 .01 .01
1.19 0 0 31.5311 .01 .01
1.2 0 0 31.3207 .01 .01
1.21 0 0 31.1134 .01 .01
1.22 0 0 30.9092 .01 .01
1.23 0 0 30.708 .01 .01
1.24 0 0 30.5098 .01 .01
1.25 0 0 30.3143 .01 .01
1.26 0 0 30.1217 .01 .01
1.27 0 0 29.9318 .01 .01
1.28 0 0 29.7446 .01 .01
1.29 0 0 29.56 .01 .01
1.3 0 0 29.3779 .01 .01
1.31 0 0 29.1984 .01 .01
1.32 0 0 29.0213 .01 .01
1.33 0 0 28.8466 .01 .01
1.34 0 0 28.6743 .01 .01
1.35 0 0 28.5042 .01 .01
1.36 0 0 28.3364 .01 .01
1.37 0 0 28.1708 .01 .01
1.38 0 0 28.0074 .01 .01
1.39 0 0 27.8461 .01 .01
1.4 0 0 27.6869 .01 .01
1.41 0 0 27.5297 .01 .01
1.42 0 0 27.3744 .01 .01
1.43 0 0 27.2212 .01 .01
1.44 0 0 27.0699 .01 .01
1.45 0 0 26.9204 .01 .01
1.46 0 0 26.7728 .01 .01
1.47 0 0 26.627 .01 .01
1.48 0 0 26.483 .01 .01
1.49 0 0 26.3407 .01 .01
1.5 0 0 26.2001 .01 .01
1.51 0 0 26.0612 .01 .01
1.52 0 0 25.9239 .01 .01
1.53 0 0 25.7883 .01 .01
1.54 0 0 25.6543 .01 .01
1.55 0 0 25.5218 .01 .01
1.56 0 0 25.3908 .01 .01
1.57 0 0 25.2613 .01 .01
1.58 0 0 25.1333 .01 .01
1.59 0 0 25.0068 .01 .01
1.6 0 0 24.8817 .01 .01
